date,value
2016-11-01,1.0
2016-11-02,1.0
2016-11-03,1.0
2016-11-04,1.0
2016-11-07,1.0
2016-11-08,1.0
2016-11-09,1.0
2016-11-10,1.0
2016-11-11,0.977117498
2016-11-14,0.993903224
2016-11-15,1.022004601
2016-11-16,1.00184028
2016-11-17,0.99026464
2016-11-18,1.001113266
2016-11-21,1.0252755909999998
2016-11-22,1.0346830429999998
2016-11-23,1.0423444189999997
2016-11-25,1.0414908455000003
2016-11-28,1.0263778360000002
2016-11-29,1.0259495075
2016-11-30,1.036723852
2016-12-01,1.0538943844999997
2016-12-02,1.0535023805000001
2016-12-05,1.057831228
2016-12-06,1.065470753
2016-12-07,1.077947075
2016-12-08,1.090337873
2016-12-09,1.0913899079999998
2016-12-12,1.0794434720000003
2016-12-13,1.0843654968491
2016-12-14,1.0670849058490999
2016-12-15,1.0819474301041
2016-12-16,1.0665608617161
2016-12-19,1.0683801744305
2016-12-20,1.0796477404305005
2016-12-21,1.0797637794305002
2016-12-22,1.0809461954305
2016-12-23,1.0848038834305
2016-12-27,1.0969115594305001
2016-12-28,1.0766494244305003
2016-12-29,1.0795794624305
2016-12-30,1.0739185604305
2017-01-03,1.0705731454304999
2017-01-04,1.0731913044305001
2017-01-05,1.0750116987062
2017-01-06,1.082093856809
2017-01-09,1.0659798024632001
2017-01-10,1.0617905799632
2017-01-11,1.0468681279632002
2017-01-12,1.0498480599632
2017-01-13,1.0461806649632
2017-01-17,1.0268979749632003
2017-01-18,1.0327150699632002
2017-01-19,1.0384505319632
2017-01-20,1.0559934149632002
2017-01-23,1.0623881585670003
2017-01-24,1.0889121818339
2017-01-25,1.0867872506485001
2017-01-26,1.0853543211935004
2017-01-27,1.0931412313675999
2017-01-30,1.0877420734996002
2017-01-31,1.0884830965109005
2017-02-01,1.0944415824209006
2017-02-02,1.0853754218872
2017-02-03,1.0809721186570005
2017-02-06,1.0826775105643007
2017-02-07,1.0700878091878
2017-02-08,1.0714657513366002
2017-02-09,1.0649283738676
2017-02-10,1.0683059708675997
2017-02-13,1.0705960028675998
2017-02-14,1.0658114768676
2017-02-15,1.0761288018676
2017-02-16,1.0695141228676002
2017-02-17,1.0724565178676002
2017-02-21,1.0795363438676004
2017-02-22,1.0797411208675998
2017-02-23,1.0792384128675998
2017-02-24,1.0763981308675998
2017-02-27,1.0799225318676
2017-02-28,1.0772653418676
2017-03-01,1.0928971388675999
2017-03-02,1.0747852638675999
2017-03-03,1.0829744558676
2017-03-06,1.0767764068675998
2017-03-07,1.0728187108676008
2017-03-08,1.0722694228676004
2017-03-09,1.0793845018676003
2017-03-10,1.1010412628676
2017-03-13,1.1073592388676003
2017-03-14,1.1025753098675999
2017-03-15,1.1179055098676
2017-03-16,1.1031730748676003
2017-03-17,1.1033544058676004
2017-03-20,1.1046298248676
2017-03-21,1.0835031938675999
2017-03-22,1.0861353048676
2017-03-23,1.0861205188676002
2017-03-24,1.0906627478676
2017-03-27,1.0907017948675999
2017-03-28,1.0954526328675993
2017-03-29,1.1097132008675998
2017-03-30,1.0971231298675999
2017-03-31,1.1065547618675995
2017-04-03,1.1047339588676002
