,date,AAP,AMZN,AZO,BBY,HRB,BKNG,BWA,KMX,CCL,CMG,DHI,DRI,DG,DLTR,EBAY,EXPE,F,GPS,GRMN,GM,GPC,HBI,HOG,HAS,HLT,HD,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MCD,MGM,MHK,NWL,NKE,JWN,NVR,ORLY,PHM,PVH,RL,ROST,RCL,SBUX,TPR,TGT,TIF,TJX,TSCO,ULTA,UAA,UA,VFC,WHR,WYNN,YUM,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,-0.011803419414836536,-0.025273424071504125,0.004874395806385712,-0.007240755107318364,0.0,-0.014771642808452667,-0.014459880918627821,0.0016443987667009718,-0.0030978934324659146,0.026978217381640412,-0.0017445917655268817,0.004351880634131167,0.007965242577842035,0.0064102564102563875,-0.004228329809725095,-0.023732042225573458,-0.018087889283724623,0.002608047690014992,-0.017959183673469492,-0.000952986022871749,-0.006292134831460738,-0.03125,-0.0062133854074205574,-0.013988565867899205,-0.006238853750562323,0.0033363916923847547,-0.012359807736324058,-0.012631578947368438,-0.010757409440175558,-0.009694629358486528,-0.005317485142320888,0.014170348925796272,0.001357220412594895,0.0011709601873537423,0.0012472160356347128,-0.017424242424242342,-0.002179014415018332,-0.010589700996677665,0.002015316404675671,0.001572945340149401,-0.007089423561556618,-0.005828035119588293,-0.01717659688674178,0.0018774054257018058,-0.009122237989053206,0.0,-0.01561270007871951,0.00914285714285712,-0.03298800436205018,0.007081735025081137,-0.004260582737768082,0.003725679591555009,0.018461061123177247,-0.00370555416770757,0.008846657929226787,-0.0062720501764014225,-0.0018511701667008884,0.0012618715547585424,-0.01740812379110257,-0.016312407315867472,-0.006496418964299644
2,2016-11-03,-0.006724372272694734,-0.023401790147820845,0.006018108788889531,-0.014481510214636728,-0.008053691275167751,-0.019700068166325857,-0.029486815990927284,0.019938335046248756,-0.0020652622883106098,0.04109246499222041,-0.01290997906489888,-0.008392912651538742,-0.0075307748008688336,-0.01081730769230771,-0.01127554615926707,-0.0055559965076592555,-0.02239451714585261,-0.04508196721311475,-0.03306122448979587,-0.013024142312579423,-0.012247191011235947,-0.05168269230769229,-0.007278537191549694,-0.011312492397518414,-0.007130121583375781,0.0024188839769789805,-0.022888532845044662,-0.02120300751879689,-0.01448957189901201,-0.01236062654237835,-0.024397873005942983,0.01462745695566059,0.001357220412594895,0.013466042154566704,-0.004721603563474397,-0.02386363636363631,-0.011174432897530506,-0.011420265780730854,0.002216848045142994,-0.012780180888714132,-0.005849271825344338,-0.009082652134423386,-0.03327965646806208,-0.03435651929034067,-0.010338536387593744,-0.013363387538238625,-0.0017055890842297972,-0.013904761904761864,-0.03762268266085067,-0.016376512245500185,-0.009895547003848204,-0.00924520491237757,0.01784052125349067,-0.03568157215421763,-0.007208387942332806,-0.008232065856526916,-0.01073676729971862,0.002789400278940146,-0.10892802606128471,-0.008897676717745884,-0.010247009575950927
3,2016-11-04,-0.025752915086916017,-0.03865497001566065,-0.003812376608346435,-0.01241272304111729,-0.01879194630872494,-0.029120654396728063,-0.03345619506662889,0.03823227132579654,-0.00784799669558034,0.02920093354078679,0.003140265177948409,-0.007460366801367746,-0.0075307748008688336,-0.016826923076922906,-0.015151515151515138,-0.006190967537106129,-0.02325580787642012,-0.04023845007451554,-0.04061224489795923,-0.010165184243964398,-0.014943820224719073,-0.04807692307692302,-0.007988638380969193,-0.013258727648704394,0.006684508746100493,0.008507798815580836,-0.01991302357518876,-0.022556390977443663,-0.010976948408342513,0.003393127672524976,-0.018142008132624232,0.009446899283864107,0.0002714440825188902,0.018881733021077318,-0.010779510022271621,0.00037878787878797837,0.06576153760196668,-0.01287375415282388,0.006852075775896971,-0.009241053873377925,-0.003116958909197054,-0.011504692703602881,-0.020933977455716568,-0.02074532995400369,-0.0007095073991485457,-0.011431331508613751,-0.012988716872211925,0.004761904761904745,-0.03653217011995624,-0.01844201829448211,0.002336448598130758,-0.007589347316130812,0.015203226807322334,-0.05000416354400872,0.00917431192660545,0.003920031360250764,-0.00888559713301762,0.014743972902968805,-0.1037361294920085,-0.014499917614104407,-0.012263136727268198
4,2016-11-07,-0.01609557192932254,-0.0006111457709986334,-0.0021512696575669565,0.010343935867597631,-0.014317673378076101,0.009086571233810403,-0.0014176353841792722,0.058787255909558134,0.011771995043370564,0.06270837963991993,0.024773203070481475,0.01802921976997207,0.010427226647357069,0.008814102564102644,-0.0049330514446793705,0.003968568934042294,-0.002583959296347915,0.004843517138598985,-0.022857142857142798,0.01715374841169015,-0.004157303370786569,-0.02644230769230771,0.003372980649742674,0.005108867534363348,0.020944751912852055,0.03219617983151224,0.0034332799267569047,-0.011879699248120379,0.003732162458836452,0.01648086004668725,-0.005630278385986842,0.024379094926100908,0.025244299674267,0.04069086651053877,0.005077951002227188,0.02954545454545454,0.08799865906805238,0.020764119601328845,0.025997581620314403,0.018875344081793255,0.006711409395973034,-0.017521949742658194,-0.0016103059581319412,0.01098282174035492,0.011858909385769278,0.007728224118499494,0.0034111781684598164,0.037904761904761886,-0.011177753544165614,-0.003688403658896444,0.04576690489279822,0.01186697943976811,0.02016754576481561,-0.03160129902573072,0.02424639580602883,0.016856134849078774,0.01629025813267493,0.02895663146709171,-0.10556856357528255,0.021749876421156777,0.00848500639119898
5,2016-11-08,-0.015165605551183958,0.0029793356336180743,-0.0034992171012322437,-0.017584690974915995,-0.00939597315436247,0.07575323790047728,0.0028352707683583223,0.0006166495375128367,0.028913672036348537,0.05173371860413423,-0.031053733426378294,0.019738887161952157,0.009703113685735065,0.012419871794871806,-0.01233262861169826,0.008095880625446528,-0.01119721502060389,-0.01341281669150518,-0.016938775510204063,0.00794155019059728,-0.003258426966292194,-0.028044871794871806,0.011894194922776435,0.013258727648704616,0.03832443249445072,0.03636666944699307,0.006408789196612474,-0.01984962406015023,0.020636663007683964,0.00412020884745945,-0.0009383797309977515,0.01797958250799958,0.027958740499457013,0.0687939110070257,0.01657015590200439,0.06060606060606055,0.09056877863448443,0.04671926910299007,0.029423619508262888,0.023397561934722644,0.007692919860996739,-0.017635482894338583,-0.01717659688674178,0.0054444757345348815,0.002533954996959187,0.011914345516019997,0.0175806874836002,0.040380952380952406,-0.017448200654307522,-0.010770138683977581,0.039307311709730675,0.01048709810956261,0.01970214086255062,-0.03143475726538436,0.026539973787680138,0.022736181889455143,0.009996299233038242,0.048880919173806214,-0.11768298890359363,0.02158510463008745,0.020279951052192935
6,2016-11-09,0.003862937263037658,-0.017226671420022655,0.008714003676220328,-0.004137574347039097,-0.046979865771812124,0.07038854805725969,-0.03515735752764393,0.04049331963001035,0.019413465510119687,0.026672593909757625,-0.03907885554780188,0.0658999067454149,0.0354815351194786,0.015491452991453158,-0.003171247357293905,-0.009842050956425097,-0.002583959296347915,0.021236959761550045,-0.001224489795918382,-0.016518424396442133,0.013258426966292314,-0.022035256410256387,0.04349369785194401,0.014840043790293356,0.052139041744795556,0.05113020268579538,0.04600595101853977,-0.00030075187969913486,0.027442371020856227,-0.0038778566747643683,0.00375351892399145,0.03367362486667691,0.041802388707926186,0.08430913348946145,0.024320712694877455,0.07272727272727275,0.10498379707229866,0.029900332225913706,0.030229746070133068,0.02811639795517107,0.008037774889248395,-0.00034059945504094635,-0.03166935050993025,0.004881254106824384,0.03537401175755117,0.012075350185155376,0.036604565730779415,0.039619047619047665,-0.008724100327153761,0.015196223074653403,0.07009345794392519,0.020284255554022357,0.03924914675767921,-0.015988008993255032,0.03505897771952826,0.015288122304978335,0.02147353459943746,0.06754333532576218,-0.10577216736231299,0.019443071346185503,0.02272264875093044
7,2016-11-10,0.04313613277058437,-0.05478667192931075,0.016107291170263327,0.03387638996638209,-0.013870246085011306,0.05952283571915462,-0.0019846895378509144,0.08386433710174712,0.030978934324659146,0.0886585907979549,-0.03977669225401259,0.07724588125582832,0.07719044170890665,0.030982905982906095,-0.007751937984496138,-0.018731645368680105,0.02842381357376067,0.0648286140089418,0.009591836734693882,0.039707750952985954,0.050561797752809,-0.02123397435897445,0.05521036747736541,0.020557109840652066,0.045454554077826614,0.07623655017099007,0.166628519111925,0.024511278195488595,0.045444566410537846,0.014057190378640838,-0.0031279324366593197,0.05835745847935403,0.10016286644951133,0.07464871194379397,0.0201336302895323,0.055681818181818166,0.13074086490110637,-0.010382059800664423,0.015517936316001624,0.10165159260715684,0.002639467331617684,-0.006433545261883111,0.0032206119162641045,0.054163146531493345,0.07703223190756137,0.018193527612300864,0.05418525321437939,0.02038095238095239,0.0010905125408942062,0.04071997639421676,0.10266630016492573,0.04029253484200357,0.06531182128451762,-0.014863852110916786,0.034403669724770714,0.003920031360250764,0.0427619423486314,0.09583582386929668,-0.13162984831517877,0.01071016641950906,0.02673754047427912
8,2016-11-11,0.03741326275126999,-0.05907742452986331,0.021648852883109804,-0.008016550297388236,0.02147651006711393,0.05020449897750523,-0.02523390983838958,0.12600205549845844,0.028913672036348537,0.10324516559235386,-0.046406140963014764,0.08983525023313654,0.08182476466328747,0.03912927350427364,0.009161381254404466,-0.038018890388126,0.05770883077344391,0.0830849478390463,0.019387755102040938,0.08068614993646772,0.06314606741573048,-0.008012820512820484,0.047399254393751145,0.02895024936139179,0.056595380908862625,0.08307615314037853,0.21812771801327546,0.0401503759398496,0.051152579582876,-0.00024235217269485965,0.007194244604316724,0.06247143074813355,0.12269272529858832,0.07420960187353631,0.01755011135857454,0.04166666666666674,0.11526427533802663,-0.01474252491694339,0.023176138653768774,0.15454187966968136,0.013681460063134976,-0.0054874356645473465,-0.016639828234031095,0.05209800056322167,0.08554632069734436,0.024633714377716887,0.07255313565993182,0.027238095238095283,0.00845147219193021,0.0526704042490409,0.10349092908191304,0.04029253484200357,0.10300961836798006,-0.005454242651344865,0.04259501965923995,0.003920031360250764,0.05609032821458482,0.0822208939363751,-0.13488750890766565,0.0001647717910695512,0.029515730559417364
9,2016-11-14,0.022247657200086035,-0.08446543843342957,-0.006930356048744035,0.03284199637962226,0.05458612975391497,0.015119291070211371,-0.02977034306776305,0.16937307297019522,0.048740190004130435,0.1507557234941097,-0.024075366364270767,0.12698165993161337,0.11020999275887045,0.046207264957265126,-0.01726568005637763,-0.05421065163901895,0.038759650759151665,0.12146050670640851,0.06612244897959196,0.057179161372299836,0.08033707865168549,0.009214743589743613,0.047754304988461005,0.06069821189636304,0.08377898657227734,0.06489281841688221,0.23117418173495086,0.057744360902255654,0.08540065861690449,0.025933112575629247,0.01720362840162659,0.06673777236020118,0.12812160694896857,0.13056206088992983,0.04997772828507796,0.036742424242424354,0.10207844451894066,-0.03426079734219267,0.011890366787585815,0.1708611875737318,0.026275300421784165,-0.00794732061762038,0.0005367686527106841,-0.00797897305923212,0.13105615244273272,0.023989695701175373,0.10286014169509317,0.03276190476190477,0.03544165757906215,0.06476836825022136,0.07339197361187444,0.024147923278597938,0.11774744027303763,0.0009576151219918838,0.021297509829619976,-0.024696197569580636,0.06164383871468759,0.0820880653516638,-0.139672197902881,0.0001647717910695512,0.02548393737904453
