,date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BLK,COF,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,RE,FITB,FRC,BEN,GL,GS,HIG,HBAN,ICE,IVZ,JPM,KEY,LNC,L,MTB,MKTX,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,STT,STI,SIVB,SYF,TROW,TRV,USB,UNM,WFC,WLTW,ZION,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,-0.020619324103022252,0.0,0.0019342359767893225,-0.012075471698113183,-0.00214238628872776,-0.010718358038768527,-0.011671721349140629,-0.006295907660020972,-0.008064516129032251,-0.007826610475617057,-0.012211981566820351,-0.010504737157967625,-0.006892304082590228,-0.008466475488187908,-0.006135947087417271,-0.013375529110486228,-0.008173273395995051,-0.027570789865871803,0.01555600322406625,-0.03243761996161243,-0.0060649304316804376,-0.020996441281138756,0.004071821036106593,-0.010526315789473717,-0.009016283138204795,-0.015430277281426652,-0.000315806095057547,-0.008311805009547313,-0.000906207521522373,-0.021780303030303094,0.008249382246721115,-0.013195435092724583,-0.0042047266927648375,-0.013437057991513512,-0.007577309031333135,-0.013456090651558061,-0.008788347302465582,-0.004180432877081808,0.0015908367801464873,-0.009617422914382168,-0.010904684975767465,-0.01318944844124692,0.0037783375314861534,-0.009625962596259696,-0.005541871921182273,-0.00837082766558539,-0.012742382271468067,-0.004796929964822505,-0.004632929436920841,-0.025343713765115017,-0.030442804428044257,-0.009763690391962565,-0.012580004414036616,-0.02243270189431712,-0.004901960784313597,-0.009558132246944573,-0.005835843373493854,-0.010346378767431386,0.007348784624081395,-0.016307893020221842,-0.01093863106249493,-0.03970223325062039,-0.008218987298156732
2,2016-11-03,-0.011016822986452235,0.006579909343471302,0.01309328968903456,-0.013886792452830199,-0.041694133157547775,-0.0017103762827822555,-0.0030328094844224163,0.00041972717733473885,0.012852822580645018,-0.007826610475617057,-0.008294930875575979,-0.013323086902378156,0.0005279211637729819,-0.012426601119759795,-0.008287512949238907,-0.007478794206888351,-0.015324887617490845,-0.021236959761549934,0.03382176005958404,-0.030902111324376147,-0.0007135212272565417,-0.01850533807829191,0.009419152276294973,-0.01967963386727689,-0.020185708518368983,-0.00741841370112073,0.007579346281383348,-0.010389756261934169,-0.00883552333484372,-0.029356060606060663,0.024406006462649676,-0.006776034236804507,-0.008554443961142577,-0.012729844413012725,0.05201720253942255,-0.012039660056657131,-0.012043290747823288,-0.0034387431730833473,0.012408526885141713,0.005770477731330326,-0.009894991922455576,-0.01648681055155865,0.010075566750629594,-0.004675467546754741,-0.0006157635467979317,-0.007010568169927622,-0.015143120960295464,0.002558362647905321,0.029579472558802555,-0.016564518800728845,-0.03505535055350539,-0.004528088297721888,-0.008828073273008274,-0.02043868394815551,-0.015056022408963532,-0.002036979003447237,-0.004894578313253017,-0.009221772379667148,0.02713397399660833,-0.01413350728419216,-0.005308453309740169,-0.03318858560794047,-0.0035927412009520987
3,2016-11-04,-0.015259788596099555,0.002485743529755835,-0.007290581758666814,-0.011169811320754675,-0.054383651944627465,0.0007981755986317118,-0.009374138406396448,-0.0035676810073452803,0.004662298387096753,-0.0036122817579770095,-0.00944700460829484,-0.019984617532279647,0.014195213514781813,-0.0017752287313943516,-0.01896565463383537,-0.01826549768662966,-0.01573355128729048,-0.01602086438152006,0.032215976191903195,-0.030134357005758172,0.00017838030681405215,-0.01672597864768688,0.00789835164835151,-0.029290617848970246,-0.019781994348001652,0.0029673461330279594,0.005052897520922084,-0.012018420757048287,-0.020842772995015912,-0.037878787878787956,0.014445922828359548,-0.006419400855920077,-0.01754385964912275,-0.006364922206506307,0.029694859717386946,-0.022426817752596806,-0.008788347302465582,0.014564088733059144,0.016544702513522136,0.0006411775160928279,-0.014438610662358742,-0.017386091127098324,0.018261964735516445,-0.008800880088008833,-0.0006157635467979317,-0.009626451815423098,-0.018836565096952862,-0.005116725295810642,0.0191256830601092,-0.021202584064932806,-0.029520295202952074,-0.003962077260506569,-0.009710880600309113,-0.01379195746095041,-0.011904761904761862,-0.0018802883108742785,-0.01477786144578308,-0.011920827710301451,0.011588468061051405,-0.0302239617308111,-0.06072548861899785,-0.02636476426799017,-0.006323335281673392
4,2016-11-07,-0.009751377102873326,0.017546424915923398,-0.005207558399047629,0.01132075471698113,-0.02307185234014497,0.039908779931584926,0.023711055969120487,0.019307450157397765,0.0078125,0.02408187838651421,0.014516129032258185,0.00794260802011526,0.04892069450961989,0.021985525058036304,-0.007889074826679332,-0.006903501231052989,0.017981201471189312,0.01900149031296583,0.051786428420755426,-0.0019193857965451588,0.029967891544773417,0.01530249110320292,0.015992935635792627,0.0022883295194506825,0.006055712555510739,0.02166172673277611,0.024790778462024488,0.01920700887341331,0.0072496601721794285,-0.01041666666666674,0.034594183615282326,0.015691868758915817,0.013194142380745122,0.028288543140028155,0.06778619701003485,-0.012511803588290848,0.01619334364065428,0.03243206796574749,0.03547566019726389,0.02521908137572737,0.005452342487883621,0.01918465227817756,0.030541561712846166,0.017601760176017667,0.030172413793103647,0.008684733703045122,0.0031394275161589213,0.005756315957786917,0.055119980993109774,0.009607420904422792,0.011070110701107083,0.023630960803735723,0.019201059368792794,0.032236623462944536,0.019257703081232425,0.007991225321215989,-0.008283132530120474,0.010346378767431386,0.03222159412097225,-0.012828875842574528,-0.05340625754041661,0.00031017369727037725,0.016475604711323255
5,2016-11-08,-0.019279440226291578,0.024857435297558128,0.005505133164707798,0.012377358490565982,-0.01944627554383649,0.034549600912200606,0.030695708115062947,0.026862539349422843,0.009198588709677491,0.023479831426851394,0.011059907834101379,-0.0038432065280661343,0.03674917878930084,-0.005325686194182722,-0.0008765638696310862,0.000575292975835362,0.019820187985288173,0.004098360655737654,0.06011641490467379,-0.0015355086372360605,0.02140563681769514,0.019572953736654686,0.020064756671899442,-0.009153318077803285,0.00040371417036744184,0.016320484345905495,0.03315963998105187,0.021678086038414035,0.013366560942455807,-0.029356060606060663,0.038205664322372046,0.012838801711840153,0.015369001014934103,0.019094766619519143,0.07843538808109773,0.004485363550519317,0.018227683294002706,0.046524172341716685,0.04008908685968815,0.0232955728101496,0.00646203554119551,0.02218225419664277,0.029282115869017522,0.017326732673267342,0.024938423645320285,0.01119598200272054,0.006278855032317621,0.022705468500159975,0.05428842955571378,0.015570647672685123,0.004612546125461359,0.022498938729305307,0.0064003531229308575,0.03447989365237625,0.004901960784313708,-0.0007834534628642364,0.016660391566265087,0.011695906432748426,0.032786885245901454,-0.009784735812133127,-0.04455883535751626,0.004962779156327368,0.017496781000004624
6,2016-11-09,0.03707012058954873,0.04693668665009487,0.014283588751673904,0.0375849056603772,0.00411997363216865,0.1630558722919042,0.019483503354471132,0.047219307450157455,0.03351814516129026,0.08187838651414814,0.04930875576036864,0.04048167627767474,0.06880572501173177,0.04192270927215613,0.002868754482428848,0.008341711952184028,0.05414793624846759,0.050670640834575176,0.12404656382898627,0.05105566218809976,0.07545486978237603,0.0679715302491104,0.019819466248037543,0.05034324942791746,0.050195128515677645,0.14213650211406037,0.06647718300963223,0.08182635066831412,0.03579519710013579,0.03314393939393945,0.08990686181334362,0.07310984308131241,0.062055966362186465,0.07708628005657703,0.1777595740323572,0.018413597733710985,0.0703881520058589,0.0872496797249005,0.06442888959592752,0.09596068717249961,0.016457996768982186,0.09472422062350128,0.05368387909319905,0.06091859185918591,0.07666256157635476,0.059432876425656644,0.03601108033241007,0.02590342181004157,0.11083392729864583,0.0811661421235712,0.06457564575645747,0.06891184378095372,0.06245861840653277,0.09745762711864403,0.058123249299719904,0.07098088373550593,0.006588855421686857,0.04970760233918137,0.11221028829847368,0.04348771472059143,-0.050912893107053825,0.07382133995037199,0.05624425061358673
7,2016-11-10,0.09967247283013236,0.0710630209094898,0.03332837375390585,0.05826415094339632,0.041694133157547775,0.25302166476624843,0.03611800385993935,0.07450157397691504,0.052041330645161255,0.12944009632751374,0.06474654377880196,0.06123495562962722,0.09986508681370254,0.08193363375665719,0.00772969957765568,0.030921899718092893,0.0954229668982427,0.10283159463487346,0.17472902250597144,0.08234165067178512,0.13449875133785238,0.12384341637010654,0.027815934065934078,0.0864988558352402,0.1107522540707846,0.12314539657472001,0.09884730775303963,0.12810288666741543,0.04893520616221103,0.0984848484848484,0.08914655008553507,0.10556348074179756,0.11135276207046552,0.11669024045261667,0.208683186565636,0.026440037771482405,0.0880462201969241,0.07821455060346572,0.07858733693923003,0.14853602037435976,0.012419224555734854,0.13968824940047964,0.05636020151133492,0.0797579757975797,0.10467980295566526,0.10892539499843057,0.06888273314866122,0.0553245922609531,0.1610833927298645,0.11545469604108005,0.12361623616236161,0.08589217489741041,0.10086073714411836,0.16234629444998339,0.1067927170868348,0.10137887809464119,0.03181475903614461,0.07085020242914974,0.13058224985867706,0.12263535551206783,-0.016568808815249803,0.13523573200992556,0.08731007852310047
8,2016-11-11,0.07436355515855309,0.06170492762099711,0.03615533402767457,0.0641509433962264,0.043506921555702016,0.26396807297605474,0.01543975737524117,0.08163693599160537,0.04574092741935476,0.14509331727874786,0.07672811059907825,0.07225210835813556,0.0886614265603003,0.10596749965860974,0.010837516933620117,0.028620727814751445,0.07948508377605235,0.11214605067064087,0.14793255353697088,0.10998080614203443,0.15180164109882255,0.15480427046263356,0.03772566718995285,0.11990846681922185,0.1084645404387028,0.10445101597497186,0.10563713879677872,0.14534426597776018,0.06071590394200266,0.10795454545454541,0.06918836723056465,0.11269614835948638,0.11193272437291579,0.15487977369165473,0.2310055293876716,0.024787535410764727,0.10668077142159649,0.09176724428561789,0.07826916958320074,0.14746742315780637,0.014135702746365109,0.15377697841726623,0.04596977329974794,0.09845984598459845,0.12561576354679826,0.10840221826933161,0.05817174515235446,0.06204029421170465,0.16334046091708232,0.12224614874937889,0.14852398523985233,0.08178859487760004,0.11630986537188259,0.2049684280491857,0.13725490196078427,0.10466938263867132,0.03802710843373491,0.07737291947818248,0.14160542679479926,0.1248097412480973,-0.02292286656478726,0.14671215880893285,0.09103750195251603
9,2016-11-14,0.06773857376805115,0.05687966076911821,0.0517780092248179,0.09313207547169822,0.06212920237310482,0.3028506271379703,0.012682657843948064,0.09380902413431258,0.08379536290322598,0.20891029500301017,0.0951612903225807,0.09787342537923571,0.09634561238855,0.14379352724293315,0.011235955056179803,0.04113332470097064,0.11728647323252961,0.15052160953800287,0.16238457635285042,0.13339731285988465,0.18979664645023187,0.17722419928825617,0.04037480376766078,0.15652173913043477,0.13968510294711334,0.14896140144459458,0.11811147955155543,0.17477254857913072,0.08586316266425009,0.13257575757575757,0.05664322372172603,0.14015691868758906,0.15282006669566495,0.1874115983026874,0.2574237149293468,0.037771482530689404,0.1388233379445032,0.1166475625379273,0.07556474705695204,0.16477880838639547,0.010298869143780198,0.17955635491606725,0.019049118387909347,0.13888888888888884,0.14408866995073888,0.13110808831223197,0.05835641735918751,0.0681164055004797,0.17224994060346877,0.16100712274308449,0.22416974169741688,0.11093816329418438,0.15250496579121608,0.2568959787304752,0.18067226890756305,0.1474459417110625,0.055911144578313365,0.09604138551506969,0.17100056529112484,0.15720808871493785,-0.01479932437866971,0.1919975186104217,0.11034199442416726
