,date,MO,ADM,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,EL,GIS,HSY,HRL,SJM,K,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,TSN,WMT,WBA,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,-0.005497861942577842,0.010909090909090757,-0.009548773637895525,-0.007144358058415734,-0.031969202443719036,-0.001661918328584977,0.0026764333004649643,0.0008405148745642688,0.0015295197308045072,-0.002659211349918311,-0.05446118192352267,-0.004056466006814863,-0.0014707324247474896,-0.008919202518362979,-0.002214585719740314,-0.0015955325089747063,-0.003947368421052699,-0.0024895326468258316,0.04644365053588828,0.0,-0.00010547410610695085,-0.015762985471465152,-0.009234234234234195,0.004595144866014866,0.0,-0.0003122398001665916,-0.0012665515256188309,-0.006447587354409201,-0.010972007314671517,0.0021645021645022577,-0.006427358719378939,-0.005435421480065483
2,2016-11-03,-0.006261453879047196,0.014545454545454639,-0.012731698183860662,-0.07291447783147731,-0.039919658548832504,-0.002136752136752018,-0.0059163262431328745,-0.010716530897245335,-0.02067910676047713,-0.015068871410272022,-0.07798377752027819,-0.008275190653902365,-0.012844396509461564,-0.04433368310598107,-0.00557464681176012,-0.016487169259406964,-0.0030701754385964453,-0.02399004186941278,0.00746995777849957,-0.014705882352941124,0.0005273705305346432,-0.021745323331117672,-0.024549549549549465,-0.023811184327782176,-0.0007496954362290476,0.0015611990008326249,-0.0028785261945883933,-0.004783693843593895,-0.015754677169784848,0.004761904761904745,-0.020373514431239248,-0.015556702080647855
3,2016-11-04,-0.016799022602321467,0.0036363636363636598,-0.01497846845160078,-0.08005883588989293,-0.0521382542472173,-0.010208926875593494,-0.020002817298211073,-0.021643197263821246,-0.023615784643621796,-0.03013773572647649,-0.08435689455388184,-0.015901346746714284,-0.01951171683498376,-0.04433368310598107,-0.012829324169530198,-0.020476000531844063,-0.014473684210526416,-0.04888536833767121,0.004222150048717177,-0.02882352941176458,-0.015399219491614935,-0.023739435951001808,-0.04031531531531529,-0.058483599270031994,-0.008434073657576535,-0.00614071606994171,-0.02037996545768561,-0.0008319467554076532,-0.05500070333380214,-0.002020202020202033,-0.025588163958282784,-0.02603253882559975
4,2016-11-07,-0.003207086133170556,0.0064171122994651775,0.00823815764838054,-0.06640050430762767,-0.04368566407230734,0.008072174738841476,-0.006338920974785056,0.009876016022680956,0.015172835729581058,-0.021273697893415044,-0.06651216685979133,0.0032451728054518902,-0.0038239043043435395,-0.027019937040923203,0.003970981290569053,-0.0034569871027787524,-0.000175438596491162,-0.026479574516238613,0.014615134784020656,0.0,-0.006012024048096309,-0.0029436900579242753,-0.004054054054054013,-0.05214787618983707,0.0023427982382158152,0.013009991673605281,-0.003339090385722443,0.09733777038269542,-0.02391334927556621,0.006926406926407003,-0.012248362842590232,-0.006920263653699021
5,2016-11-08,0.005497861942577842,0.02074866310160428,0.041190788241902254,-0.03677243118302165,-0.03540045192066277,0.01804368471035156,0.008451894633046964,0.022903983077046997,0.018966044661976378,-0.0038865418480553693,-0.06940903823870215,0.03374979717669957,-0.007843906265320055,-0.01836306400839438,0.012447499045437294,0.023268182422550243,0.012982456140350873,-0.00033948172456721437,0.003572588502760654,-0.06352941176470583,0.010125514186267282,0.00541259139682837,0.03626126126126117,-0.05312261085102932,0.018836097835254417,0.01852622814321392,0.0070236039147957285,0.12707986688851913,-0.01111267407511618,0.007070707070707227,-0.028741207858355433,0.0033798346159268355
6,2016-11-09,-0.02199144777031148,-0.010053475935828837,0.02902078262497665,-0.04307627652868262,-0.03665578709515438,0.0035612535612536966,-0.008733624454148381,0.0052531977139573804,-0.058366472927500745,0.0008864037833062888,-0.06848203939745068,0.018010709070257924,-0.015001470732424749,-0.032528856243441595,0.0019854906452845267,-0.0043877143996808865,0.01201754385964926,-0.03881407717551211,0.04871711594673589,-0.10794117647058832,-0.002742326758780722,-0.021080619124489552,-0.00878378378378375,-0.07686417873409146,0.005060444194546099,-0.01800582847626986,-0.01059297639608503,0.12645590682196328,-0.022084681389787697,0.025974025974025983,-0.011156924569488136,-0.013166417477380787
7,2016-11-10,-0.057422113622480175,-0.03358288770053475,-0.001872308556450042,-0.08825383483925198,-0.060590844422127366,-0.02801519468186131,-0.05338780109874619,-0.0738053716210133,-0.06472927500764747,0.00027273853423781524,-0.09374275782155272,-0.009086483855265337,-0.04627904696538876,-0.08761804826862529,-0.026422298587246984,-0.0340380268581304,-0.01622807017543859,-0.07864659952472564,0.06755440077947372,-0.12088235294117644,-0.034173610378652186,-0.053651125249264076,-0.05585585585585584,-0.11585235373450242,-0.03242432761690561,-0.058076602830974156,-0.04478986758779502,0.10690515806988343,-0.06822337881558604,0.030158730158730274,-0.01928207615813715,-0.04069425191248488
8,2016-11-11,-0.05681124007330496,-0.10737967914438507,0.00168507770080506,-0.08152973313721379,-0.05389572349150551,-0.02587844254510907,-0.050288773066629044,-0.056793633548746114,-0.06766595289079236,0.018409922001716872,-0.09200463499420619,-0.009573259776083143,-0.046475144622021736,-0.08761804826862529,-0.02970599465444812,-0.036032442494349115,-0.009561403508771993,-0.0810229715966958,0.08866515102305961,-0.11205882352941177,-0.03470098090918683,-0.059443547621308546,-0.07229729729729728,-0.12441603280298463,-0.032986599194077426,-0.0742089925062448,-0.03765112262521586,0.10503327787021632,-0.06400337600225059,0.027849927849928013,-0.01709919961193307,-0.04095379983659708
9,2016-11-14,-0.06551618814905324,-0.08278074866310159,0.02003370155401618,-0.0771170413952511,-0.05314252238681061,-0.022554605887939116,-0.06212142555289468,-0.04167208859561977,-0.09489140409911279,0.03641074329614513,-0.10081112398609504,-0.006977121531721586,-0.03010099029316593,-0.08001049317943332,-0.016265750286368785,-0.03563355936710533,-0.007982456140350869,-0.09381011655539218,0.12504059759662223,-0.10499999999999998,-0.030587490771015746,-0.08061912448960218,-0.0671171171171171,-0.14634740602714658,-0.04985474650923061,-0.0910699417152373,-0.04432930339666086,0.1125207986688852,-0.03671402447601635,0.01717171717171717,-0.008488964346349603,-0.041379579251458964
