,date,ACN,ADBE,AMD,AKAM,ADS,APH,ADI,ANSS,AAPL,AMAT,ADSK,ADP,AVGO,BR,CDNS,CDW,CSCO,CTXS,CTSH,GLW,DXC,FFIV,FIS,FISV,FLT,FLIR,FTNT,IT,GPN,HPE,HPQ,INTC,IBM,INTU,IPGP,JKHY,KLAC,LRCX,MA,MXIM,MCHP,MU,MSFT,MSI,NTAP,NVDA,PAYX,PYPL,QRVO,QCOM,CRM,STX,SWKS,SYMC,SNPS,TEL,TXN,VRSN,V,WDC,WU,XRX,XLNX,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,0.021267435853280503,-0.00917001965004216,-0.046544428772919644,-0.011600587371512372,-0.008476256567859664,-0.013783701908512525,0.0009433962264149276,-0.004891062694530879,0.0008969414297246292,-0.01072664359861586,-0.02025677603423659,0.035204786010124334,0.02227488151658763,-0.0017152658662092923,-0.015898251192368762,-0.02857142857142858,-0.0029527559055118058,-0.014001648605229788,-0.0017475728155340597,-0.005314437555358653,-0.00037544844537673594,-0.012118557453642875,-0.02342225113858165,0.0010146103896102598,-0.11964327078990034,-0.003350593968930893,-0.020780856423173844,0.0012775842044134844,-0.01560975609756099,-0.0027174215886940356,0.020905923344947785,0.002317497103128563,-0.0054977419988219145,-0.01108110624825398,-0.014486668066344799,-0.0006208095356345922,0.011231393775372078,-0.0020822488287350893,-0.009146341463414531,-0.005580923389142511,-0.005317381189763992,-0.017667844522968212,-0.0061872909698996725,-0.010370575221238965,-0.020247809005741968,-0.004199855177407508,0.0012898470609914447,-0.00457390467019736,0.0008926977325478536,-0.018290898448931836,-0.005964214711729698,-0.03144467517057259,-0.010288880094974306,0.0003965107057890549,-0.0063464837049742595,-0.00584610522989415,-0.00864055299539157,-0.02719942231315442,-0.01274197500612606,-0.03563941299790352,0.008105369807497542,0.0010526347752877196,-0.015324165029469539,-0.010235254951018735
2,2016-11-03,0.00697434131220942,0.0028071488724619176,-0.05500705218617763,-0.023201174743024966,-0.008377119064141958,-0.017116025446834215,0.0039308176100629755,-0.07192085371276125,-0.014889227733428934,-0.02179930795847751,-0.03552068473609127,0.027726645190980115,0.02482227488151656,-0.00015593326056428936,-0.014705882352941235,-0.025249169435215935,-0.005249343832021025,-0.01811977794038777,0.002912621359223211,-0.01107174490699736,0.0039421761212401485,0.006059278726821438,-0.0244632400780741,-0.004565746753246835,-0.13852212184387314,-0.020103563813585024,-0.030226700251889227,0.09221835075493634,-0.0177003484320557,-0.012681118899975807,0.013240418118466879,-0.01709154113557365,-0.0027488709994109017,-0.0166682186423317,-0.01732101616628179,-0.003352371492426287,0.010554803788903833,-0.008433107756376956,-0.011242378048780366,-0.0060882800608828,-0.009139248919906917,-0.021201413427561766,-0.009866220735785913,-0.014242256637167938,-0.01934119069205198,-0.015785662563359892,-0.008107610097659923,-0.008425613866153148,0.013033386895197285,-0.020339479075212163,-0.0173624917163685,-0.018688816374963002,-0.015037593984962405,0.009119746233148263,-0.009691252144082285,-0.013904250276504992,-0.022177419354838634,-0.032494885064388024,-0.011884342073021359,-0.0366876310272537,0.0020263424518744966,-0.015789481675061223,-0.004125736738703312,-0.012930432947093728
3,2016-11-04,0.009385224728775565,-0.006269299148498164,-0.07475317348377997,-0.033627019089573995,-0.009616337860612667,-0.016813086943350486,-0.002672955974842739,-0.07047576700755875,-0.023768947887702896,-0.02352941176470591,-0.00941512125534949,0.024850437183617125,0.01996445497630317,-0.00155933260564467,-0.009141494435612074,-0.03145071982281289,-0.009514435695538004,-0.02047299892509402,0.011262135922330163,-0.00797165633303809,0.04486577452210194,-0.009125419769309362,-0.018607677293428715,-0.006392045454545414,-0.13105165624276116,-0.02741395065488883,-0.02770780856423183,0.0846689895470385,-0.01310104529616718,-0.0018115884142823058,0.02508710801393743,-0.026361529548088125,-0.0023561751423522015,-0.019648011919173092,-0.014696619777451292,-0.0021107524211572137,0.008389715832205491,-0.010931806350858886,-0.0183879573170731,-0.0119228817858954,0.000664672648720499,-0.017667844522968212,-0.018227424749163834,0.049502212389380684,-0.07978241160471455,-0.02143374366401163,-0.01142435968306621,-0.01540683678382282,-0.0880199964292091,-0.023558677202224154,-0.014314115308151076,-0.02106199940670428,-0.009761245218309011,-0.06859635210150672,-0.011149228130360234,-0.010428187707378633,-0.026497695852534586,-0.03995667348658094,-0.015437392795883409,-0.03878406708595383,-0.005572441742654477,-0.0347368277217317,-0.021021611001964646,-0.015455222168294203
4,2016-11-07,0.03297744101945921,0.016749321605689094,-0.01833568406205921,-0.023201174743024966,0.01016159413105977,0.007876401090578744,0.011949685534591081,-0.04657625611382832,-0.00968696744102604,0.014878892733563909,0.02710413694721825,0.04233778186838455,0.048341232227488096,0.016372992359270366,0.011128775834658322,0.0028792912513844193,0.015091863517060489,0.006236025266162182,0.06310679611650483,0.017714791851195955,0.08090858654002031,-0.003869177982187222,-0.004554326610279658,0.01014610389610393,-0.1429812369701181,-0.019494364910143225,-0.009760705289672655,0.10464576074332177,0.0009756097560975618,0.04664857702048608,0.04878048780487809,0.004924681344148141,0.019176647686367065,0.004749045534966134,0.007978165022044736,0.015023590762353933,0.022192151556156947,0.02561166059344111,0.009527439024390238,0.00938609842719429,0.03406447324692574,0.023262661955241404,0.010367892976588688,0.07452986725663724,-0.02961619824720474,0.03215061549601739,0.0036852773171180964,-0.006259027443427989,-0.09891090876629172,0.0017559262510973284,0.011265738899933764,0.02788490062296045,0.018862946840786154,-0.03251387787470261,0.012521440823327623,0.02243640385526935,-0.00619239631336399,-0.014562522565892522,0.01090419014947308,0.007512229210342447,0.03140830800405281,-0.019999980821958196,0.007072691552062915,0.007088970143614981
5,2016-11-08,0.031599793352850014,0.014222887620473523,-0.012693935119887145,-0.02540381791483093,-0.0009418062853177034,0.011966070887609925,0.019654088050314433,-0.03357047576700756,-0.003856848147815839,0.02110726643598637,0.0369472182596291,0.04866543948458357,0.048578199052132565,0.024169655387494382,0.0119236883942766,-0.012846068660022136,0.017060367454068137,0.0029415188428048022,0.0658252427184467,0.025686448184233823,0.08241035861805024,0.005767265294203794,-0.003253090435914152,0.016335227272727293,-0.13834839008570776,-0.0152299725860493,-0.013539042821158809,0.1361207897793264,0.012264808362369317,0.052536219883267954,0.06480836236933807,0.006373117033603659,0.015576935663328628,0.008939379830524175,-0.005248792777661104,0.04134591507325558,0.022056833558863342,0.031962519521082866,0.007050304878048808,0.007102993404363378,0.06281156530408771,0.02532391048292104,0.011204013377926536,0.08628318584070804,-0.018132366273798772,0.03055756698044898,-0.0014741109268473496,0.000962927298988836,-0.09016247098732366,-0.0010242903131403303,0.014579191517561263,0.023138534559477897,0.020050125313283207,-0.0202220459952418,0.015780445969125312,0.032548585874545566,0.005616359447004671,-0.019376579612468414,0.015437392795883298,0.00034940600978328185,0.03444782168186444,-0.023157885147821133,0.015717092337917515,0.010400139800548658
6,2016-11-09,0.009213018770449333,0.009263591279124128,-0.021156558533145242,-0.023054331864904465,0.02765936353722598,0.020145410481672288,0.02154088050314451,-0.018119164072921246,-0.005471342721320327,0.00795847750865053,0.03609129814550638,0.04578923147722058,0.027369668246445267,-0.030874785591766707,-0.003974562798092274,-0.014839424141749769,0.02887139107611536,0.011295454816126815,0.02932038834951456,0.027900797165633318,0.09986859195894437,0.02372609140020443,0.0006506180871830303,0.01978490259740262,-0.13122538800092653,0.019189765458422325,-0.00031486146095727197,0.1658536585365853,0.014773519163763016,0.052083342263332666,0.08501742160278747,0.006662804171494674,0.013220760520976649,0.018344352360554872,0.015116523199663945,0.039111000744971314,0.0215155615696887,0.020406038521603387,0.01171875,0.0022831050228309113,0.06862745098039214,0.012956419316843215,0.0061872909698996725,0.0918141592920354,0.003022061045632851,0.01317885590152068,0.01676801179288745,-0.006740491092922518,-0.07552222817354037,-0.0067310506292069805,0.005964214711729587,0.031148027291604707,0.02440311304577225,-0.015067406819984086,0.012349914236706727,0.042028756517617394,0.00504032258064524,-0.01251654832109772,0.019848076451849828,0.00419287211740027,0.006585612968591725,0.0010526347752877196,0.01866404715127712,0.012550786301851913
7,2016-11-10,0.03607714826933006,-0.02610648451389541,-0.1121297602256699,-0.027606461086637224,0.039902845246356566,0.006816116328385302,0.010220125786163603,-0.026900844819919834,-0.0331868328998115,-0.02491349480968852,0.04835948644793153,0.05142659917165204,-0.005094786729857859,-0.053329175113051575,-0.012718600953895098,-0.014617940199335488,0.017060367454068137,0.02035533639824294,0.04485436893203887,0.027015057573073653,0.10756523083047465,0.02095196379033437,0.002602472348731233,0.012581168831168776,-0.1516678248783877,0.04173012488577532,-0.011649874055415621,0.16620209059233448,-0.011428571428571344,0.04483698860620389,0.0794425087108015,-0.0005793742757822518,0.04862883696577014,0.017133811341838223,-0.004408985933235354,0.0370002483238141,0.008254397834912108,-0.0008328995314940135,-0.004382621951219412,-0.016742770167427756,0.03755400465270853,0.0005889281507653887,-0.018394648829431315,0.09499446902654873,0.011181625868842415,-0.018537291817523505,0.031877648793071645,-0.026239768897448168,-0.07945009819675053,-0.029704419081065248,-0.024121935056328758,0.0729753782260456,0.001319087191663293,-0.006740681998413933,0.005660377358490676,0.05498498972981514,-0.004320276497695841,-0.02455169093753773,0.0030629747610879665,-0.006988120195667302,0.010131712259372039,0.00842103824804763,-0.0003929273084478657,0.005143005708524662
8,2016-11-11,0.02617530566557602,-0.029849349677177894,-0.057122708039492265,-0.038913362701908816,0.04946961435511055,0.009239624356255582,0.027044025157232587,-0.011783014673187986,-0.027446407749573853,-0.0027681660899653293,0.05292439372325264,0.04786010124252171,-0.007464454976303436,-0.05457664119756733,0.006756756756756577,0.029678848283499537,0.02887139107611536,0.006589012846714759,0.04757281553398074,0.03631532329495135,0.14360802114491622,0.030442400350416232,-0.006896551724137945,0.02008928571428581,-0.16782487838776938,0.0566554980201035,0.0031486146095718315,0.17398373983739845,-0.03149825783972138,0.05570651909189728,0.102439024390244,0.002607184241019578,0.05550101446429756,0.03715429742061649,-0.0028343480999371007,0.05016141047926492,0.021109607577807665,0.014992191566892243,-0.0032393292682926234,-0.012176560121765712,0.04935194416749744,0.04063604240282692,-0.01304347826086949,0.11144911504424782,0.02326987005137493,0.2740043446777698,0.04440759167127317,-0.035146846413095845,-0.04445634708087831,-0.021363769388352494,-0.011398277004638802,0.10501334915455351,-0.017148133491623807,-0.008723235527359208,0.022813036020583377,0.05703902670248073,0.005904377880184386,-0.020820796726441215,0.003185493751531432,0.028825995807127747,0.03444782168186444,0.0,0.014538310412573807,0.015848855902711234
9,2016-11-14,0.009557430687101798,-0.041639374941517704,-0.042313117066290484,-0.03906020558002932,0.04490928918409831,0.009239624356255582,0.04496855345911932,0.007225433526011571,-0.05184321463808417,0.0031141868512110094,0.049215406562054254,0.057179015186378246,-0.029739336492891066,-0.05566817402151869,0.013910969793322847,0.08039867109634558,0.02919947506561682,-0.017060829974885672,0.04757281553398074,0.0403011514614704,0.13628683071876235,0.036282669002774215,-0.0216005204944697,0.015827922077922052,-0.17072040769052588,0.08041425525434054,-0.0037783375314861534,0.17955865272938465,-0.07219512195121958,0.05751810750617947,0.12195121951219523,-0.0011587485515645035,0.03547352575430329,0.024397057454139226,-0.011127440688641688,0.051527191457660715,0.021380243572395097,0.02561166059344111,-0.036394817073170715,-0.013444951801116267,0.05566633433034229,0.042991755005889365,-0.02809364548494986,0.11449115044247793,0.0556059232396493,0.21129616220130343,0.03740556476874879,-0.06571978815599411,-0.05838243170862334,-0.035264852209540454,-0.0356527501656726,0.12726194007712843,-0.02334784329244155,-0.02339413164155435,0.026072041166380844,0.0545109811976614,0.008352534562211966,-0.05151041039836324,-0.03969615290370021,0.039133473095737115,0.042553191489361764,0.0021052695505754393,0.03791748526522598,0.008949125513487033
