,date,ABT,ABMD,A,ALXN,ALGN,AGN,ABC,AMGN,BAX,BDX,BIIB,BSX,BMY,CAH,CELG,CNC,CERN,CI,COO,CVS,DHR,DVA,XRAY,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PKI,PFE,DGX,REGN,RMD,SYK,TFX,TMO,UNH,UHS,VAR,VRTX,WAT,WCG,ZBH,ZTS,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,-0.008962868117797562,-0.014940898345153664,-0.005288572085537013,-0.028001826206056846,0.007686849574266796,-0.051569614186436685,0.08840808138701806,-0.014634839443023573,-0.0031989763275751537,0.00300534952214937,-0.018757080800538173,-0.00506678949792716,-0.004527559055118036,0.02646135446255049,-0.011912767797098711,-0.017107811491284708,-0.07307289850017451,0.0156855985520985,0.00040283132876783867,0.005991611743559,-0.003764766973906375,0.002594258042199815,0.022945205479452113,-0.03576086956521751,-0.02106115836370981,-0.003978779840848934,0.061547872232996514,-0.008132361189007287,-0.002786671409937158,0.014041161761877197,-0.027526881720430163,-0.03160057758524937,-0.004703458380537651,0.009768350544236748,-0.004161609155540202,0.0015343616248082448,-0.004521786790901539,0.05074649957453392,0.0021008403361344463,-0.007757166947723326,-0.003700943864878292,-0.013186221743810456,-0.004003202562049668,-0.009897070467141722,-0.014161570646926358,0.005587979634918749,-0.008339344971865503,-0.010828463389480958,0.0061852077707116315,0.008862840397398486,-0.0015066429256266334,-0.0032274259485047807,0.005071078227616654,-0.0034559679633516804,0.0015408320493066618,-0.007349195954304166,0.008813838550246977,-0.016769468003084098,0.06052910052910043,-0.003691698308045832
2,2016-11-03,-0.017157490396926933,-0.030638297872340403,0.0039089445849618265,-0.029675848424897233,0.01797540208136228,-0.09503953989935299,0.03625161197879323,-0.03935777209434488,-0.00021326508850494363,0.040932860491675216,-0.03209938064243967,-0.007830492860433025,-0.011614173228346347,-0.022574375840932914,-0.016716303199154625,-0.02098127824402851,-0.07900244157656089,0.01103162975092653,-0.0007481153248548589,-0.022528460155782026,-0.0063611579903932736,0.011068834313386455,0.019691780821917693,-0.02934782608695652,-0.031186715269339693,-0.0263925729442972,0.04644994722147011,0.04290521592821084,-0.019862445155934938,0.010482785150990548,-0.036630824372759996,-0.07497500833055648,0.005345516896838598,0.007675132570471588,-0.0026877059129529757,-0.01776629249777928,-0.01192107426692246,0.002475439003635671,0.008403361344537785,-0.014671163575042168,-0.011549925484351853,-0.08127018299246491,-0.05124099279423544,-0.00692794932699925,-0.03797875764402958,0.009561654041971845,-0.030414081662097914,-0.014437951185974462,0.007491941806777591,0.014795225502108433,0.0004109026160799001,-0.01147529226134969,-0.013633718513592186,-0.0026755872884515197,-0.002439650744735511,-0.004656916248271914,-0.021746293245469506,-0.011757902852737034,0.035978835978836,-0.013233187782435762
3,2016-11-04,0.0010243277848913657,-0.009929078014184411,0.019084847091285218,-0.01841424440724382,0.013836329233680278,-0.06542056074766356,0.009743516263074792,-0.03807899971582829,0.0021326508850501025,0.05181222576185607,-0.019677238350402027,-0.00690925840626444,0.004133858267716617,-0.025713858573777837,-0.006244596022672688,-0.005648805681084612,-0.0875479595395885,0.04843574937516171,0.011797203199631623,-0.013660874775314524,-0.0011683759574192543,0.014008993427879757,0.03767123287671237,-0.025760869565217392,-0.022141217766976973,-0.0009283819628648216,0.05318281012756443,0.06786315199102644,-0.007352069251749138,0.021446432006154925,-0.034910394265233013,-0.027324225258247292,0.0025383737952757723,0.01297795143734315,-0.001994104387029738,-0.01566663974804161,-0.006714168265278264,0.011526262860679148,0.015076618882847281,-0.008094435075885253,0.04436164927968189,-0.05812701829924638,-0.015212169735788539,0.010886777513855916,-0.03443836498229802,0.008568235440208571,-0.014889626316548887,-0.013062908215881741,0.020559282167436077,0.021585304838825037,0.003766607314066528,-0.012335939180950994,0.000498794579765427,-0.006243032809979399,0.013867488443759513,0.004438623299134026,-0.005848434925864954,-0.007228218966846556,0.05693121693121683,-0.000264879589612077
4,2016-11-07,0.020742637644046047,0.015035460992907757,0.051046217521269144,-0.08651651194643117,0.03902554399243141,-0.044092978672418015,0.030663418827912237,-0.011011651037226344,0.01556835146086577,0.06924325299032263,0.04622027149200725,0.01520036849378159,0.03582677165354342,-0.013305426820152455,0.032664040733980215,0.05261459005810187,-0.08179281478897815,0.08808066879255372,0.03711802957932897,-0.0007189934092270978,0.015188887446449417,0.0005188516084400074,0.046575342465753344,-0.007173913043478253,-0.0009450519778586575,0.05596816976127328,0.061955917695059703,0.08468872686483464,0.03705680066405792,0.04375841507982292,-0.017347670250896008,0.02354770632011549,0.013005433167047054,0.0408875244208764,0.011444425177735251,0.010579019623677688,0.012332145793367832,0.04053531368453611,0.0374443895205141,0.012647554806070938,0.06621957277694968,-0.015339074273412079,0.024819855884707698,0.026722090261282583,-0.02220791760540719,0.024090401092760505,0.05436444957437603,-0.003781368167755206,0.042599529575747086,0.04581516689300269,0.03965210245171891,0.01793014415835903,0.03824091778202665,0.015273130466586071,0.0685670261941449,0.02081059448446476,0.03599670510708397,0.006649961449498809,0.057777777777777706,0.026371139819659106
5,2016-11-08,0.019974391805377856,0.020425531914893602,0.048976776270406974,-0.09184294627910516,0.05002365184484403,-0.06158638868919242,-0.01088981229402497,-0.016410912190963356,0.025378545532096286,0.07417202620664787,0.04614949014201808,0.024873330262551674,0.04645669291338583,-0.023022873374196506,0.041886828705927526,0.07811491284699801,-0.08179281478897815,0.10979918986469017,0.05254071473787181,-0.1188735769922109,0.02466571465662737,0.003459010722933309,0.044520547945205546,-0.0066304347826087184,-0.00040502227622496445,0.07267904509283807,0.07174918229542504,0.08721256309590597,0.06148464366180484,0.05260627043662236,-0.012903225806451646,0.023658780406531132,0.023009613560042164,0.059726486184761285,0.014825732616611687,0.018008560122748873,0.014250479583447495,0.00959232613908867,0.04226396440929325,0.020404721753794375,0.06783407848981615,-0.0013455328310010284,0.04643714971977575,0.003958828186856556,-0.03443836498229802,0.03712902024090403,0.06123214543355937,-0.010140941904434486,0.05279205505706064,0.03638053034093347,0.04478838515271866,0.024887040091802426,0.06459389807964078,0.022185053804067545,0.06561376476630709,0.027068325693080153,0.05609555189456339,-0.01860061680801861,0.06518518518518523,0.028193642024667565
6,2016-11-09,0.026120358514724717,0.002553191489361728,0.056334789606806046,-0.03241515751027235,0.074739829706717,0.020369039060627925,0.08339303625161176,0.04021028701335605,-0.006184687566645364,0.05073029993388234,0.1320073598925693,0.0059880239520957446,0.1082677165354331,0.035281805950067247,0.15352099144970688,-0.12766300839251132,-0.1140565050575516,0.17038696888735672,0.045980318812222976,-0.08256440982624325,0.041542256263793265,0.026115530958146005,0.047773972602739745,0.004891304347826031,0.05940326717969491,-0.04297082228116722,0.07127312058080881,0.042063937184520395,0.10281038776236207,0.04933641084823992,-0.045663082437276015,0.1566144618460512,-0.02726512757625621,0.0840078146804355,0.043089994797988584,-0.017039489622870052,0.07412989860235686,0.09600061885975086,0.023974295600593054,0.08229342327150091,0.05822155986090416,0.04736275565123793,0.08887109687750194,0.005344418052256383,0.033794657225619584,-0.0013659505774245018,0.20738710142836525,0.003093846682708845,0.0126317623486365,0.042884711600314596,0.04129571291603895,0.017714982428458814,-0.008562640285975531,-0.013266446294858736,0.1926040061633283,0.036018336607727575,-0.03426688632619446,-0.020624518118735558,0.0793650793650793,0.04899206705693304
7,2016-11-10,0.03994878361075549,0.014184397163120588,0.08139802253391593,-0.034545731243341926,0.0714285714285714,0.03709561466570799,0.14042126379137398,0.07679738562091498,0.020260183407976085,0.05553885916932155,0.14807474170906776,0.007830492860432914,0.11535433070866152,0.07220810285543422,0.16303199154577763,-0.10539057456423506,-0.13742588071154516,0.1615099543221581,0.03740576624273473,-0.0739364889155183,0.041672075814617626,0.03735731580767898,0.045890410958904004,0.009239130434782528,0.05089779937896588,-0.04429708222811679,0.05202665529175832,0.05440269209198001,0.143602513933357,0.04597037891902289,-0.008100358422938991,0.1630567588581584,-0.05106611892019586,0.0932179737650014,0.036414080110976244,0.01921989824759751,0.0734447793916142,0.14094530826951335,0.022244191794364765,0.09544688026981452,0.05623447590660691,0.03013993541442428,0.09527622097678146,0.013657957244655572,0.07788863855809458,0.012169377871600773,0.2206030875775502,0.01959436232382261,-0.006620785782733729,0.022014151954828254,0.057046979865771785,0.04805278634440202,0.005902402527225847,-0.00947603306775624,0.22444786851566523,0.042858182347376816,-0.012932454695222417,-0.029683885890516515,0.08126984126984138,0.05802148242858718
8,2016-11-11,0.027912932138284274,0.040283687943262425,0.06622212002759253,-0.13544361588799259,0.0825449385052035,-0.005176132278936096,0.13082103453216787,0.05882352941176472,-0.0014928556195350495,0.023982689186752504,0.12960079015070636,-0.009672961768770194,0.10964566929133857,0.06697563163402598,0.14756460755115763,-0.18205293737895423,-0.1546913149633764,0.1520296475049554,0.020141566438395486,-0.10017974835230681,0.05075944437232249,0.029574541681079314,0.03116438356164375,-0.01076086956521738,0.0317267449709735,-0.07718832891246696,0.06549238110394695,0.030286034772854853,0.1454405312462943,0.04991344489324878,-0.012831541218637943,0.16083527712984558,-0.0716120183187604,0.07633268210996369,0.027137159701751346,0.007994831624000609,0.06426418196766237,0.1064438771563394,0.014211566979732915,0.07841483979763919,0.04893194237456533,0.020721205597416636,0.1537229783827061,0.0075217735550277,0.04892178950756376,0.011548491245498393,0.21134035492713887,0.028704022000687557,-0.038592211865145054,0.022585948109498988,0.03581701136830562,0.050132683066771655,-0.012885526643943934,-0.019063543693688678,0.18130457113507958,0.033908171432729395,-0.004530477759472906,-0.055223592906707863,0.07111111111111112,0.043349123540897816
9,2016-11-14,0.003841229193342066,0.040283687943262425,0.04230857668429522,-0.09534317455486219,0.06693472090823072,-0.03139228372873237,0.16535320246453633,0.04021028701335605,-0.039880571550437116,-0.021458195588146878,0.13777604375893482,-0.042376784891755004,0.11338582677165365,0.0816265510539691,0.15938130464021527,-0.16768883150419622,-0.15102895012207884,0.17314487632508846,-0.020947229095931497,-0.08927501497902934,0.026872647020641294,0.04790729851262543,0.004794520547945158,-0.0588043478260869,0.03618199000945066,-0.04588859416445634,0.07338138149476259,0.022153673583847677,0.17893987904660258,0.05116368532410065,-0.02236559139784955,0.16505609241363994,-0.06737143891699915,0.07298353335193974,0.01092422403329274,0.029637406121295395,0.0553576322280076,0.1115494701013382,-0.026816608996539815,0.07133220910623961,0.04143070044709374,0.034445640473627526,0.1537229783827061,-0.004948535233570861,0.0421628580624398,0.05674903762572936,0.28270090895974587,0.0065314541079408706,-0.07065075354996075,0.015438496176113148,0.01369675386933289,0.09216094097396543,0.007149388976639859,-0.020735795190887196,0.2123780174627634,0.020010187004293023,0.046128500823723106,-0.055609097918273065,0.036190476190476106,0.04583166997060695
