,date,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,ES,EXC,FE,NEE,NI,NRG,PNW,PPL,PEG,SRE,SO,WEC,XEL,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,-0.016309012875536433,-0.011758437055061632,-0.010575554199715342,-0.012148942884190661,-0.007665982203969968,-0.014871438498957668,-0.01733333333333331,-0.015892126173850274,-0.003106009453072267,-0.00483481063658342,-0.011772192173083007,-0.0072546773577700785,-0.024827586206896513,-0.007090226609203443,-0.01183431952662728,-0.016837041491280624,-0.0032865252464894246,-0.01755500834061474,-0.011190689346463722,-0.06961429915333961,-0.0037438160181842983,-0.002647058823529558,-0.01330108827085863,-0.05236051502145922,-0.005744849445324829,-0.009227614490772473,-0.009789525208027339,-0.014023946439205015
2,2016-11-03,0.008583690987124415,-0.008818821110290198,-0.0020337604230221684,-0.007257810034711265,-0.013141683778233992,-0.008200138985406613,0.001777777777777656,-0.008909222248976723,-0.0024307900067520594,-0.001477303250067119,-0.010817690104995337,-0.007509227440498756,-0.020000000000000018,-0.0075072987626860765,-0.012943786982248406,-0.014431749849669218,-0.005377950403346321,-0.016284057510525085,-0.008952551477171,-0.0470366886171214,-0.007621339751303746,0.002941176470588225,-0.009189842805320536,-0.03690987124463507,-0.0017828843106180159,-0.004784688995215336,-0.005873715124816492,-0.010519603353469686
3,2016-11-04,0.039484978540772486,-0.015766987246280117,0.0038641448037419757,-0.015462290943515367,-0.03367556468172472,-0.013620569840166796,0.01911111111111108,-0.01805923428846612,-0.004051316677920247,-0.008998119795863402,-0.0127266942411709,-0.016545755377370464,-0.03020689655172415,-0.015431669678854676,-0.01664201183431946,-0.017137702946482314,0.002987750224081376,-0.021526729684645307,-0.018800358102059045,0.0376293508936969,-0.009092124615590391,0.0005882352941177782,-0.01088270858524798,-0.026227944682880255,-0.00732963549920751,-0.0136705399863295,-0.012236906510034284,-0.013859576280764285
4,2016-11-07,0.06523605150214595,0.013629065305337695,0.03335367093756347,-0.0022088987062164334,-0.02327173169062291,0.011118832522585054,0.04977777777777792,0.004334216229231913,0.0066171505739367475,0.0034918076819769883,0.010605578534309101,0.007127402316405851,-0.012827586206896613,-0.005839010148755763,0.0038831360946744997,0.004810583283223258,0.02808485210636391,-0.009770434506315095,-0.0013428827215756778,0.0705550329256821,0.003476400588313888,0.016176470588235237,0.012817412333736344,-0.0074391988555079225,0.0027733755942946914,0.001025290498974707,0.007097405775819743,0.003931698133957662
5,2016-11-08,0.06695278969957075,0.02886157206638229,0.04148871262965215,-0.00236667718523198,-0.008624229979466103,0.01695621959694238,0.05333333333333323,0.01083554057307956,0.01728561782579341,0.013967230727907731,0.01972637607381489,0.013745704467354125,-0.003310344827586187,-0.0027804810232170407,0.01756656804733736,0.012026458208057589,0.030773827308037127,-0.005719278735403899,0.0107430617726052,0.07902163687676378,0.012702232918839318,0.021764705882352908,0.016928657799274438,-0.004482594182165012,0.005546751188589605,0.00837320574162681,0.016152716593245353,0.01111132461528097
6,2016-11-09,0.03090128755364807,-0.01630146773151564,-0.0024405125076266687,-0.033606816030293474,-0.010951403148528382,0.0016678248783876803,0.03155555555555556,-0.028653985071032895,-0.024172856178257818,-0.016653236637120483,-0.020362710785873372,-0.01565483008781965,-0.0321379310344827,-0.04281940775754223,-0.01571745562130178,-0.03577871316897163,0.0005975500448163196,-0.06672491857971252,-0.003581020590868289,0.1317027281279397,-0.010830324909747335,-0.012352941176470678,-0.017412333736396612,-0.04940391034811631,-0.02496038034865289,-0.03913192071086813,-0.03132648066568777,-0.023872926226185753
7,2016-11-10,-0.015450643776824036,-0.051576698724628,-0.02786251779540383,-0.05743136636162827,-0.02765229295003413,-0.020569840166782538,0.027555555555555555,-0.04912111726462798,-0.04537474679270759,-0.04472199838839641,-0.031922791388270255,-0.043400789105256465,-0.05158620689655169,-0.056443764771305416,-0.03217455621301768,-0.09230306674684297,-0.048401553630116445,-0.08602748431170071,-0.03625783348254252,0.04139228598306666,-0.026340419842225016,-0.026176470588235357,-0.03168077388149948,-0.07257987601335236,-0.050911251980982564,-0.05246069719753932,-0.053352912383749396,-0.046141605307678524
8,2016-11-11,-0.033476394849785485,-0.05505079515463496,-0.028472645922310358,-0.05348690438624171,-0.024229979466119045,-0.019179986101459434,0.01866666666666683,-0.042860582711293116,-0.04807562457798786,-0.04969110932044041,-0.03521052073390607,-0.04238258877434131,-0.05034482758620695,-0.06283887112470476,-0.039386094674556116,-0.0980156343956704,-0.05527337914550334,-0.09810151719755333,-0.04162936436884512,0.04139228598306666,-0.018050541516245633,-0.025000000000000022,-0.04304715840386941,-0.0873628993800667,-0.05348652931854192,-0.06100478468899517,-0.04943710230053833,-0.049534177579840355
9,2016-11-14,-0.036909871244635184,-0.051042244963416694,-0.011185682326621982,-0.07352477122120549,-0.033401779603011605,-0.014454482279360747,0.020444444444444487,-0.04912111726462798,-0.060769750168804815,-0.060032232070910574,-0.03086223353483941,-0.0525645920834924,-0.05737931034482757,-0.05421937995273185,-0.04419378698224852,-0.0748647023451593,-0.048700328652524605,-0.09095241877829852,-0.034914950760966956,0.09877704609595472,-0.022864019253911017,-0.03352941176470592,-0.033373639661426924,-0.09642346208869812,-0.056458003169571946,-0.06732740943267268,-0.057513460597161115,-0.05118444208343287
