,date,ATVI,GOOGL,GOOG,T,CBS,CTL,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,IPG,NFLX,NWSA,NWS,OMC,TMUS,TTWO,TRIP,VZ,VIAB,DIS,sum
0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-11-02,0.0,-0.02117991756468196,-0.019027322264902113,-0.005196936542669728,-0.01217983163173919,-0.03163796555867038,0.013383018792322732,0.00032546786004883366,-0.02287708414113998,-0.01694231544977809,-0.03654485049833878,0.016443987667009274,-0.017992277992277983,-0.004961659900766913,-0.007785888077858849,-0.01742738589211623,-0.024193548387096864,-0.002651180406514242,-0.002231689997971187,0.019804234008650168,-0.028990074050732617,-0.015107007973143127,-0.02208287895310801,-0.00519536746401128,-0.013430110300460485
2,2016-11-03,0.018075117370891958,-0.02891443611262845,-0.027411595053661975,0.001914660831509929,-0.00591080064481464,-0.07889467360832991,-0.008614817486076065,-0.008136696501220508,-0.0003877471888328321,0.0008067769261799196,-0.03969225389054021,0.03442959917780053,-0.07335907335907332,-0.015336039693279346,-0.00940794809407941,-0.018257261410788428,-0.020161290322580627,0.000252493372049134,0.004666260904848896,0.09924880491691335,-0.011501496770127573,-0.016575744859420927,0.0,0.010607208572356308,-0.018998942605154667
3,2016-11-04,-0.021126760563380254,-0.03026766648458057,-0.027551971005985165,-0.001641137855579955,0.021135590184488517,-0.07689227072486982,0.0026445486236326143,-0.012855980471928485,-0.005816207832493148,-0.008067769261799085,-0.039517398146529104,0.030575539568345356,-0.06756756756756754,-0.005412719891745632,-0.010300081103000736,-0.01327800829875525,-0.020161290322580627,0.003913647266759357,0.00121728545343891,0.09947643979057585,0.002678430754687211,-0.012169534200587417,-0.0032715376226826187,0.0006494209330014655,-0.01841985237469701
4,2016-11-07,-0.03544600938967135,-0.004283160351591708,-0.0013909980730210103,0.006838074398249461,0.03206161561884291,-0.06607929515418498,0.03041230917177562,0.0009764035801462789,-0.00930593253198908,-0.0024203307785396477,-0.016436439937051905,0.04162384378211703,-0.05675675675675673,0.0036084799278304214,0.010381184103811947,0.014107883817427336,0.008064516129032251,0.017422042671380034,0.021505376344086002,0.12838606874573188,-0.0006302190011028275,-0.004196391103650776,0.02399127589967298,0.02208031172204783,0.003074815382959617
5,2016-11-08,-0.03732394366197189,0.00806972240154935,0.008805400645729433,0.011761487964988993,0.03403188250044775,-0.032438926712054394,0.05084745762711873,0.017412530512611823,0.0023264831329974367,0.010891488503428803,-0.008917642944570647,0.04689105858170595,-0.040772200772200784,0.018493459630130715,0.008434712084347096,-0.03319502074688796,-0.024193548387096864,0.02714303749526592,0.0237370663420573,0.12041884816753923,-0.0058295257602016815,-0.00020981955518251105,0.018266085059978288,0.02153912761121335,0.012430795300998776
6,2016-11-09,-0.057511737089201986,0.0001365645329494125,0.0021694465359043402,0.024070021881837933,0.028479312197743134,-0.02723267921505801,0.0811796289618143,0.03254678600488203,0.004265219077161708,0.014925373134328401,0.012939325056828155,0.020554984583761593,-0.0488030888030887,-0.011276499774469984,-0.009002433090024353,-0.0058091286307053736,-0.0040322580645162365,0.02019946976391873,0.07547169811320753,0.11541088094696117,-0.17078934929888134,0.004196391103650887,0.03544165757906215,0.024353284987552737,0.00708232476541748
7,2016-11-10,-0.09154929577464788,-0.03127327804538915,-0.02686285269458033,0.00027352297592986297,0.02364320257925856,-0.04645574689627552,0.0853467964899628,0.05939788445890959,0.009305932531989303,0.022186365469947678,-0.014163315264906329,-0.013489208633093441,-0.06718146718146722,-0.013531799729364025,-0.06390916463909158,-0.008298755186722073,-0.0040322580645162365,0.014644615578841114,0.058632582673970424,0.06851809697245614,-0.183393729320939,-0.02035249685270668,0.03625954198473269,0.02781686329689359,-0.015919002529889648
8,2016-11-11,-0.07488262910798138,-0.04187565178527086,-0.03776113117494673,-0.001367614879649981,0.03421099767150282,-0.04685622747296747,0.09163761670072534,0.08152969894222939,0.025203567274137306,0.039935457845905686,-0.02867634201783531,-0.005010277492291881,-0.08092664092664092,-0.004510599909788082,-0.06909975669099755,0.0058091286307053736,-0.0040322580645162365,0.02676429743719244,0.06593629539460344,0.09150921921238342,-0.19631321884354813,-0.02035249685270668,0.04743729552889864,0.057257278926290844,-0.019448207297220077
9,2016-11-14,-0.1133802816901408,-0.0648805681084571,-0.06065517285384303,-0.011761487964989104,0.0542718968296616,-0.026431718061673992,0.05437352245862881,0.09454841334418229,0.09926328034121767,0.10205728116175883,-0.05630354957160344,-0.01875642343268258,-0.11135135135135132,-0.00045105999097883043,-0.08045417680454181,0.009958506224066355,0.008064516129032251,0.05037242772377226,0.07364576993304928,0.0582745276576373,-0.23113281865448243,-0.0310532941670163,0.059432933478734906,0.05985496265829626,-0.03696098913394397
10,2016-11-15,-0.09553990610328644,-0.03764215126384274,-0.032056762930539384,0.005743982494529565,0.06054092781658604,-0.010012014417300708,0.04259326040790157,0.08999186330349884,0.07793718495540913,0.07745058491327161,-0.04179052281867457,-0.0028263103802671496,-0.09498069498069495,0.03879115922417675,-0.07875101378751004,-0.003319502074688896,-0.0040322580645162365,0.059588435803560325,0.0846013390139988,0.058729797404962314,-0.21191113912084447,-0.006084767100293709,0.05261723009814623,0.05747375257062459,-0.019721524220149722
